article_id,full_name,sex,birth_year,death_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
140955,Cai Lun,Male,50,121,Guiyang,,China,Asia,26.65,106.63333,Inventor,Invention,Science & Technology,40,719488,17987,26.0833
12562,Gregor Mendel,Male,1822,1884,Hynčice,,Czech Republic,Europe,49.61889,17.83528,Biologist,Natural Sciences,Science & Technology,79,20214907,255885,26.0827
237523,Pocahontas,Female,1595,1617,Werowocomoco,VA,United States,North America,,,Diplomat,Government,Institutions,40,15118314,377958,26.0749
20960029,Emperor Meiji,Male,1852,1912,Kyoto,,Japan,Asia,35.01167,135.76833,Politician,Government,Institutions,49,5758182,117514,26.0284
75847,Nikolai Rimsky-Korsakov,Male,1844,1908,Tikhvin,,Russia,Europe,59.65,33.53333,Composer,Music,Arts,60,3163113,52719,26.0228
18639,Lucrezia Borgia,Female,1480,1519,Subiaco,,Italy,Europe,41.93333,13.1,Nobleman,Government,Institutions,40,9053077,226327,26.0223
48740,Henri Poincaré,Male,1854,1912,Nancy,,France,Europe,48.6936,6.1846,Mathematician,Math,Science & Technology,63,2831983,44952,26.0215
57634,Carl Orff,Male,1895,1982,Munich,,Germany,Europe,48.13333,11.56667,Composer,Music,Arts,45,3720961,82688,26.0181
231443,Aspasia,Female,-470,-400,Miletus,,Turkey,Asia,37.53028,27.27833,Companion,Companions,Public Figure,32,1098835,34339,26.0177
186300,John D. Rockefeller,Male,1839,1937,Richford,NY,United States,North America,42.35556,-76.20083,Businessperson,Business,Business & Law,53,16132232,304382,26.0123
7504,Cesare Borgia,Male,1475,1507,Papal States,,Italy,Europe,42.82111,12.60278,Military Personnel,Military,Institutions,40,8045266,201132,26.0121
28354,Samuel,Male,-1100,-1010,Other,,Unknown,Unknown,,,Religious Figure,Religion,Institutions,40,1746657,43666,25.9991
24472,Paul Cézanne,Male,1839,1906,Aix-en-Provence,,France,Europe,43.5263,5.44543,Painter,Fine Arts,Arts,86,14017943,162999,25.9988
954,Albert Speer,Male,1905,1981,Mannheim,,Germany,Europe,49.48889,8.46917,Architect,Design,Arts,52,7724852,148555,25.9987
628,Aldous Huxley,Male,1894,1963,Godalming,,United Kingdom,Europe,51.185,-0.61,Writer,Language,Humanities,62,9268920,149499,25.9966
42001,Anton van Leeuwenhoek,Male,1632,1723,Delft,,Netherlands,Europe,52.01667,4.36667,Biologist,Natural Sciences,Science & Technology,68,4806421,70683,25.994
37899,Cyprian,Male,200,258,Tunis,,Tunisia,Africa,36.85806,10.33083,Religious Figure,Religion,Institutions,41,1105601,26966,25.9911
12457406,Fatima bint Muhammad,Female,605,632,Mecca,,Saudi Arabia,Asia,21.41667,39.81667,Companion,Companions,Public Figure,47,2525462,53733,25.9811
18995,Martin Scorsese,Male,1942,2020,New York,NY,United States,North America,40.75,-73.86667,Film Director,Film And Theatre,Arts,66,17289562,261963,25.9699
453778,Atahualpa,Male,1497,1533,Quito,,Ecuador,South America,-13.525,-71.97222,Politician,Government,Institutions,43,3244572,75455,25.939
62116,Napoleon II of France,Male,1811,1832,Paris,,France,Europe,48.86222,2.3325,Politician,Government,Institutions,51,2573051,50452,25.9348
12707,Guy Fawkes,Male,1570,1606,York,,United Kingdom,Europe,53.95833,-1.08028,Military Personnel,Military,Institutions,46,20778443,451705,25.9262
20747,Moctezuma II,Male,1466,1520,Tenochtitlan,,Mexico,North America,,,Politician,Government,Institutions,48,3636304,75756,25.9261
73874,Justinian II,Male,669,711,Istanbul,,Turkey,Asia,41.01224,28.97602,Politician,Government,Institutions,44,623774,14177,25.9238
155736,Truman Capote,Male,1924,1984,New Orleans,LA,United States,North America,29.95,-90.06667,Writer,Language,Humanities,54,9254606,171382,25.9214
38203876,Rebecca,Female,-3500,-3370,Other,,Unknown,Unknown,,,Religious Figure,Religion,Institutions,32,1456125,45504,25.906
53029,Muammar al-Gaddafi,Male,1942,2011,Qasr Abu Hadi,,Libya,Africa,,,Politician,Government,Institutions,111,29470548,265500,25.9006
4517,Boudica,Female,30,61,South Wales,,United Kingdom,Europe,51.48333,-3.18333,Politician,Government,Institutions,43,4517346,105055,25.8992
18633,Lorenzo de' Medici,Male,1449,1492,Florence,,Italy,Europe,43.78333,11.25,Politician,Government,Institutions,47,3737202,79515,25.8699
144936,Jackie Chan,Male,1954,2020,Victoria Peak,,,Asia,22.27547,114.14383,Actor,Film And Theatre,Arts,81,44209817,545800,25.8672
23348,Pytheas,Male,-380,-285,Marseille,,France,Europe,43.2964,5.37,Explorer,Explorers,Exploration,40,693417,17335,25.8556
205370,Tariq ibn-Ziyad,Male,670,720,Algeria,,Algeria,Africa,,,Military Personnel,Military,Institutions,39,1617507,41475,25.8554
546077,Amenhotep II,Male,-1450,-1397,Memphis,,Egypt,Africa,29.84472,31.25083,Politician,Government,Institutions,33,642264,19463,25.8538
549418,Thutmose IV,Male,-1420,-1388,Other,,Unknown,Unknown,,,Politician,Government,Institutions,34,520904,15321,25.8526
67025,Arnold Schoenberg,Male,1874,1951,Leopoldstadt,,Austria,Europe,48.21028,16.41222,Composer,Music,Arts,50,4574793,91496,25.8474
